Date,Region,Product,Salesperson,Units_Sold,Unit_Price,Category,Revenue,Cost,Profit,RowIssue,AvgPricePerUnit,Margin,Year,Month,MonthYear
2024-04-12,North,Smartwatch,Hannah,15.0,1224.0,Accessories,18360.0,16451.63425753643,1908.365742463571,,1224.0,0.1039,2024,4,2024-04-01
2024-12-14,North,Monitor,Eva,5.0,1321.0,Office,6605.0,4457.351726710745,2147.648273289255,,1321.0,0.3252,2024,12,2024-12-01
2024-09-27,North,Mobile,Bob,11.0,912.0,Electronics,10032.0,6563.644126253335,3468.355873746665,,912.0,0.3457,2024,9,2024-09-01
2024-04-16,West,Monitor,Charlie,18.0,325.0,Office,5850.0,4320.807091603379,1529.192908396621,,325.0,0.2614,2024,4,2024-04-01
2024-03-12,West,Headphones,Eva,13.0,1042.0,Accessories,13546.0,8270.122665544859,5275.877334455141,,1042.0,0.3895,2024,3,2024-03-01
2024-07-07,West,Monitor,Charlie,11.0,562.0,Office,6182.0,5177.519983147719,1004.480016852281,,562.0,0.1625,2024,7,2024-07-01
2024-01-21,West,Headphones,Charlie,14.0,336.0,Accessories,4704.0,4069.562110355081,634.4378896449193,,336.0,0.1349,2024,1,2024-01-01
2024-04-12,East,Camera,Grace,18.0,1149.0,Electronics,20682.0,16665.80191485202,4016.198085147982,,1149.0,0.1942,2024,4,2024-04-01
2024-05-01,East,Laptop,Grace,19.0,1244.0,Electronics,23636.0,16081.89912017564,7554.100879824358,,1244.0,0.3196,2024,5,2024-05-01
2024-08-02,South,Printer,Hannah,15.0,605.0,Office,9075.0,5780.290777934481,3294.709222065519,,605.0,0.3631,2024,8,2024-08-01
2024-11-26,West,Headphones,Unknown,9.0,1305.0,Accessories,11745.0,8393.485046135725,3351.514953864275,,1305.0,0.2854,2024,11,2024-11-01
2024-03-28,East,Laptop,Eva,8.0,1834.0,Electronics,14672.0,12471.21006721592,2200.789932784075,,1834.0,0.15,2024,3,2024-03-01
2024-04-09,North,Smartwatch,Alice,1.0,913.0,Accessories,913.0,643.0700354570168,269.9299645429832,,913.0,0.2957,2024,4,2024-04-01
2024-12-25,West,Mobile,Charlie,4.0,866.0,Electronics,3464.0,2113.997352912804,1350.002647087196,,866.0,0.3897,2024,12,2024-12-01
2024-05-31,South,Smartwatch,David,14.0,,Accessories,,,,ESSENTIAL_NULL;,,,2024,5,2024-05-01
2024-05-10,South,Camera,Charlie,2.0,1666.0,Electronics,3332.0,2988.749631831693,343.2503681683074,,1666.0,0.103,2024,5,2024-05-01
2024-05-29,South,Monitor,Charlie,16.0,1438.0,Office,23008.0,18475.43841910819,4532.561580891808,,1438.0,0.197,2024,5,2024-05-01
2024-11-04,North,Monitor,Eva,3.0,1090.0,Office,3270.0,2845.738588207562,424.2614117924377,,1090.0,0.1297,2024,11,2024-11-01
2024-09-14,East,Tablet,Charlie,8.0,1920.0,Electronics,15360.0,12786.5791526451,2573.420847354897,,1920.0,0.1675,2024,9,2024-09-01
2024-12-09,North,Tablet,Frank,6.0,717.0,Electronics,4302.0,3277.743938080549,1024.256061919451,,717.0,0.2381,2024,12,2024-12-01
2024-10-20,West,Tablet,Charlie,16.0,1859.0,Electronics,29744.0,19173.18054615489,10570.81945384511,,1859.0,0.3554,2024,10,2024-10-01
2024-07-10,South,Smartwatch,Frank,16.0,372.0,Accessories,5952.0,4193.73958055197,1758.26041944803,,372.0,0.2954,2024,7,2024-07-01
2024-10-03,North,Headphones,Grace,7.0,331.0,Accessories,2317.0,1795.957830588112,521.0421694118882,,331.0,0.2249,2024,10,2024-10-01
2024-06-09,North,Mobile,David,13.0,1543.0,Electronics,20059.0,17274.60428496451,2784.395715035495,,1543.0,0.1388,2024,6,2024-06-01
2024-11-09,East,Tablet,Hannah,13.0,867.0,Electronics,11271.0,7671.070932582985,3599.929067417015,,867.0,0.3194,2024,11,2024-11-01
2024-01-22,East,Camera,Eva,5.0,1565.0,Electronics,7825.0,4979.580075776189,2845.419924223811,,1565.0,0.3636,2024,1,2024-01-01
2024-09-09,South,Camera,Charlie,18.0,595.0,Electronics,10710.0,8221.528236303628,2488.471763696372,,595.0,0.2324,2024,9,2024-09-01
2024-08-23,North,Unknown,Frank,15.0,1147.0,Electronics,17205.0,11234.01106002695,5970.988939973055,,1147.0,0.347,2024,8,2024-08-01
2024-12-10,North,Monitor,Frank,18.0,1232.0,Office,22176.0,17366.21477894478,4809.785221055219,,1232.0,0.2169,2024,12,2024-12-01
2024-02-18,East,Tablet,Grace,2.0,1826.0,Electronics,3652.0,2479.914092385177,1172.085907614823,,1826.0,0.3209,2024,2,2024-02-01
2024-02-28,North,Mobile,Frank,10.0,601.0,Electronics,6010.0,4022.426296754026,1987.573703245974,,601.0,0.3307,2024,2,2024-02-01
2024-06-18,North,Tablet,Hannah,13.0,1982.0,Electronics,25766.0,18545.18747721113,7220.81252278887,,1982.0,0.2802,2024,6,2024-06-01
2024-07-06,North,Mobile,Bob,18.0,124.0,Electronics,2232.0,1736.401200860801,495.5987991391994,,124.0,0.222,2024,7,2024-07-01
2024-09-27,East,Camera,Alice,15.0,1310.0,Electronics,19650.0,15004.6476820362,4645.352317963801,,1310.0,0.2364,2024,9,2024-09-01
2024-07-08,South,Tablet,Hannah,,387.0,Electronics,,,,ESSENTIAL_NULL;,,,2024,7,2024-07-01
2024-06-23,West,Smartwatch,David,15.0,1751.0,Accessories,26265.0,22780.55383635538,3484.446163644621,,1751.0,0.1327,2024,6,2024-06-01
2024-02-20,South,Printer,Hannah,13.0,437.0,Office,5681.0,3595.871841019703,2085.128158980297,,437.0,0.367,2024,2,2024-02-01
2024-12-29,West,Smartwatch,Grace,18.0,1160.0,Accessories,20880.0,12775.22481509764,8104.775184902364,,1160.0,0.3882,2024,12,2024-12-01
2024-02-24,North,Camera,Grace,15.0,1917.0,Electronics,28755.0,22452.24563303256,6302.754366967438,,1917.0,0.2192,2024,2,2024-02-01
2024-08-31,South,Mobile,Hannah,11.0,236.0,Electronics,2596.0,1653.709502489393,942.2904975106069,,236.0,0.363,2024,8,2024-08-01
2024-11-15,West,Smartwatch,Charlie,19.0,607.0,Accessories,11533.0,8666.671728323778,2866.328271676222,,607.0,0.2485,2024,11,2024-11-01
2024-05-10,East,Mobile,Bob,3.0,326.0,Electronics,978.0,866.0502816457862,111.9497183542138,,326.0,0.1145,2024,5,2024-05-01
2024-11-02,East,Smartwatch,Charlie,7.0,419.0,Accessories,2933.0,2374.48078085131,558.5192191486904,,419.0,0.1904,2024,11,2024-11-01
2024-05-14,South,Smartwatch,Charlie,14.0,1963.0,Accessories,27482.0,21579.88252274738,5902.117477252625,,1963.0,0.2148,2024,5,2024-05-01
2024-01-21,South,Mobile,Hannah,14.0,1015.0,Electronics,14210.0,10976.39467363053,3233.605326369467,,1015.0,0.2276,2024,1,2024-01-01
2024-11-24,North,Headphones,Eva,13.0,1305.0,Accessories,16965.0,11092.76502406983,5872.234975930172,,1305.0,0.3461,2024,11,2024-11-01
2024-06-15,South,Smartwatch,Eva,12.0,1997.0,Accessories,23964.0,17488.79174081637,6475.208259183633,,1997.0,0.2702,2024,6,2024-06-01
2024-09-30,North,Tablet,Eva,9.0,185.0,Electronics,1665.0,1170.090491929698,494.9095080703023,,185.0,0.2972,2024,9,2024-09-01
2024-03-29,North,Printer,Bob,1.0,1590.0,Office,1590.0,1408.616451699924,181.3835483000762,,1590.0,0.1141,2024,3,2024-03-01
2024-11-11,East,Camera,Charlie,19.0,1025.0,Electronics,19475.0,13100.75595178346,6374.244048216538,,1025.0,0.3273,2024,11,2024-11-01
